,positionId,positionName,companyId,companyFullName,companyShortName,companyLogo,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,skillLables,positionLables,industryLables,createTime,formatCreateTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,imState,lastLogin,publisherId,approve,subwayline,stationname,linestaion,latitude,longitude,distance,hitags,resumeProcessRate,resumeProcessDay,score,newScore,matchScore,matchScoreExplain,query,explain,isSchoolJob,adWord,plus,pcShow,appShow,deliver,gradeDescription,promotionScoreExplain,isHotHire,count,aggregatePositionIds,promotionType,detailRecall,famousCompany
192,6762655,销售经理（全国）,95529,深圳云天励飞技术有限公司,云天励飞,i/image/M00/45/77/CgqKkVeIdGiANSx7AAAVacVYVAo280.JPG,500-2000人,人工智能,B轮,"['节日礼物', '带薪年假', '年度旅游', '开放务实']",销售类,销售,销售经理,"['销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']",2020-07-02 14:34:22,1天前发布,深圳,南山区,,14k-28k,0,5-10年,全职,本科,14薪,today,2020-07-03 18:35:06,10391136,1,11号线/机场线,南山,1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山,22.528499,113.923552,,,1,1,3,0.0,1.4248202,,,,0,0,,0,0,0,,,0,0,[],,False,False
193,7360314,渠道经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",市场|商务类,渠道|推广,渠道推广,['代理商'],['代理商'],[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
194,7360319,招商经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",销售类,销售,代理商销售,"['代理商', '渠道分销']","['代理商', '渠道分销']",[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
195,7061228,销售总监（全国范围）,28997,北京源清慧虹信息科技有限公司,源清慧虹,i/image2/M01/80/25/CgotOVt9GCKANDzlAAARcmQEpT8893.jpg,50-150人,"信息安全,数据服务",B轮,"['专项奖金', '绩效奖金', '五险一金', '通讯津贴']",销售类,销售管理,区域总监,[],"['大数据', '通信/网络设备']","['大数据', '通信/网络设备']",2020-07-03 17:45:07,17:45发布,北京,海淀区,"['北下关', '双榆树']",15k-30k,0,5-10年,全职,本科,"二次医疗,餐费补助,健身房,绩效奖金",today,2020-07-03 17:53:26,6299292,1,10号线,知春路,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,39.972134,116.329519,,,100,1,16,0.0,3.2632976,,,,0,0,,0,0,0,,,0,0,[],,False,False
196,7374365,(全国招聘)鲲鹏FAE+昇腾FAE C/C++技术支持,29414,东华软件股份公司,东华,image1/M00/00/41/CgYXBlTUXMqADj_gAABhWQBOVr0109.png,2000人以上,"企业服务,数据服务",上市公司,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",开发|测试|运维类,后端开发,语音|视频|图形开发,"['C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']",2020-07-03 13:12:44,13:12发布,西安,雁塔区,,13k-26k,0,3-5年,全职,本科,五险一金 ；周末双休；法定休假；定期体检,today,2020-07-03 18:30:38,16676804,1,,,,34.202773,108.868617,,,0,0,14,0.0,2.7577164,,,,0,0,,0,0,0,,,0,0,[],,False,False
197,6450479,全国销售,548684,广州高谱技术有限公司,高谱技术,i/image2/M01/66/82/CgoB5l01U9GADIQCAABxljZ2pvo243.png,150-500人,"移动互联网,物联网",未融资,"['交通补助', '定期体检', '午餐补助', '带薪年假']",销售类,销售,销售工程师,"['销售', '客户代表', '区域销售']","['销售', '客户代表', '区域销售']",[],2020-07-03 15:34:46,15:34发布,河源,源城区,,5k-9k,0,不限,全职,大专,年度体检 旅游 周末双休,today,2020-07-03 15:34:41,14570652,1,,,,23.633459,114.654524,,,89,1,14,0.0,3.012275,,,,0,0,,0,0,0,,,0,0,[],,False,False
198,6699173,全国商业化总经理,4602,雪球（北京）技术开发有限公司,雪球,image1/M00/28/41/CgYXBlVewwSAOc5FAAB0XCHw1fY376.jpg,150-500人,金融,D轮及以上,"['股票期权', '带薪年假', '年度旅游', '定期体检']",销售类,销售管理,销售总监,"['KA', '品牌管理', '市场管理']","['广告营销', 'KA', '品牌管理', '市场管理']","['广告营销', 'KA', '品牌管理', '市场管理']",2020-07-03 15:20:22,15:20发布,北京,朝阳区,"['望京', '来广营']",30k-60k,0,5-10年,全职,不限,财经知名公司，福利好，氛围好,today,2020-07-03 16:15:36,5883692,1,14号线东段,东湖渠,14号线东段_来广营;14号线东段_东湖渠,40.02124,116.468857,,,44,1,13,0.0,2.987526,,,,0,0,,0,0,0,,,0,0,[],,False,True
199,7080847,PMO（全国店面运营管理方向）,55446,贝壳找房（北京）科技有限公司,贝壳,i/image2/M01/AC/F7/CgotOVvycNiAAe8OAABhrmY_47k309.png,2000人以上,房产家居,D轮及以上,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",产品|需求|项目类,项目管理,PMO,"['PMO', '项目管理', '过程管理']","['移动互联网', '房产服务', 'PMO', '项目管理', '过程管理']","['移动互联网', '房产服务', 'PMO', '项目管理', '过程管理']",2020-07-03 14:45:40,14:45发布,北京,海淀区,"['上地', '马连洼', '西二旗']",25k-40k,0,不限,全职,本科,六险一金 超长年假 产业互联网独角兽,today,2020-07-03 14:45:30,8171055,1,昌平线,西二旗,13号线_上地;13号线_西二旗;昌平线_西二旗,40.04018,116.305611,,"['免费班车', '免费健身房', '免费下午茶', '一年调薪1次', '一年调薪2次', '15薪', '弹性工作', '地铁周边', '定期团建', '工作居住证', '超长年假', '6险2金']",100,1,13,0.0,2.920351,,,,0,0,,0,0,0,,,0,0,[],,False,True
200,6828427,全国商务BD,212939,北京一览科技有限公司,一览科技,i/image/M00/32/E7/CgpFT1k_qHiAdFKnAAAclfF44sA60.jpeg,150-500人,"移动互联网,文娱丨内容",B轮,"['股票期权', '弹性工作', '领导好', '扁平管理']",销售类,销售,商务拓展|BD,['销售'],"['视频', '销售']","['视频', '销售']",2020-07-03 11:51:37,11:51发布,北京,朝阳区,"['望京', '来广营']",10k-20k,0,1-3年,全职,本科,"领导nic,福利多多,团队氛围好",today,2020-07-03 19:27:34,11738831,1,14号线东段,东湖渠,14号线东段_来广营;14号线东段_东湖渠,40.021647,116.465865,,,100,1,11,0.0,2.6375082,,,,0,0,,0,0,0,,,0,0,[],,False,False
201,7347707,销售经理（全国）,33278,上海弘连网络科技有限公司,弘连网络,i/image/M00/9A/8F/CgqKkVihZ_OARyluAAASog9Z9z8701.png,50-150人,数据服务,未融资,"['技能培训', '绩效奖金', '定期体检', '五险一金']",销售类,销售,销售经理,"['销售', '区域销售', '软件销售']","['信息安全', '销售', '区域销售', '软件销售']","['信息安全', '销售', '区域销售', '软件销售']",2020-07-03 09:41:10,09:41发布,上海,闵行区,['七宝'],5k-10k,14,1-3年,全职,本科,行业领先地位,today,2020-07-03 17:12:06,5426879,1,,,,31.136325,121.343943,,,45,1,10,0.0,2.4465895,,,,0,0,,0,0,0,,,0,0,[],,False,False
202,7119667,全国销售VP,25439,北京沃丰时代数据科技有限公司,Udesk－企业级智能客服平台,i/image2/M01/82/33/CgotOV1sfyWAG6DAAAAcH34DTjA290.png,500-2000人,企业服务,C轮,"['AI', '大数据', '云服务', '大牛带队']",销售类,销售管理,销售VP,"['部门管理', '战略管理', '目标管理', '事业部经营']","['大数据', '企业服务', '部门管理', '战略管理', '目标管理', '事业部经营']","['大数据', '企业服务', '部门管理', '战略管理', '目标管理', '事业部经营']",2020-07-03 09:17:34,09:17发布,北京,西城区,"['西直门', '新街口', '展览路']",40k-70k,0,10年以上,全职,不限,地铁周边、高速发展、AI、潜力股,today,2020-07-03 09:17:29,8941130,1,2号线,西直门,2号线_车公庄;2号线_西直门;4号线大兴线_平安里;4号线大兴线_新街口;4号线大兴线_西直门;6号线_平安里;6号线_车公庄;6号线_车公庄西,39.939201,116.357205,,"['地铁周边', '5险1金']",46,1,9,0.0,2.4147696,,,,0,0,,0,0,0,,,0,0,[],,False,True
203,6842161,（全国）视频策划总监,658,广州三七互娱科技有限公司,三七互娱,i/image2/M01/37/BC/CgoB5lzmTciATaZZAAHQFegVPBE112.png,2000人以上,游戏,上市公司,"['高额奖金', '快速晋升', '五险一金', '带薪年假']",市场|商务类,高端市场|商务类,创意总监,[],['视频'],['视频'],2020-06-12 10:35:58,2020-06-12,广州,天河区,,30k-50k,0,5-10年,全职,大专,薪酬福利佳,today,2020-07-03 19:26:25,7878230,1,5号线,员村,5号线_员村;5号线_科韵路,23.118216,113.373865,,,40,1,8,0.0,3.4011836,,,,0,0,,0,0,0,,,0,0,[],,False,True
204,5840761,全国金融行业leader,451,腾讯科技（深圳）有限公司,腾讯,image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg,2000人以上,社交,上市公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",销售类,销售,销售经理,"['广告销售', 'KA', '大客户销售']","['广告营销', '银行', '广告销售', 'KA', '大客户销售']","['广告营销', '银行', '广告销售', 'KA', '大客户销售']",2020-07-02 20:46:49,1天前发布,北京,海淀区,"['中关村', '万泉河', '苏州街']",30k-60k,0,10年以上,全职,本科,全链路产品管理，最强广告数据库， 大厂,disabled,2020-07-03 19:17:51,7422963,1,10号线,中关村,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,39.981802,116.306337,,"['免费班车', '年轻团队', '学习机会', 'mac办公', '定期团建', '开工利是红包']",100,1,4,0.0,1.6687719,,,,0,0,,0,0,0,,,0,0,[],,False,True
205,7272403,消费金融全国渠道运营经理,166084,四川新网银行股份有限公司,新网银行,i/image/M00/A9/7E/CgqKkViv6huAOU8qAACQvR37ffw628.JPG,150-500人,金融,不需要融资,"['带薪年假', '交通补助', '通讯津贴', '美女多']",市场|商务类,渠道|推广,渠道推广,"['渠道', '推广', '线下拓展', '商务拓展']","['渠道', '推广', '线下拓展', '商务拓展']",[],2020-07-02 17:23:03,1天前发布,成都,高新区,,9k-18k,0,3-5年,全职,本科,"互联网银行,星空餐厅,扁平化管理",disabled,2020-07-03 16:58:18,6769237,1,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,30.545868,104.068239,,,23,1,4,0.0,1.523815,,,,0,0,,0,0,0,,,0,0,[],,False,False
206,6492000,机油 – KA客户拓展/ 招商经理（全国）,36009,上海阑途信息技术有限公司,途虎养车网,i/image/M00/7C/F1/Cgp3O1hGikiAJl6jAANpB1PThVo682.jpg,2000人以上,汽车丨出行,D轮及以上,"['技能培训', '节日礼物', '岗位晋升', '领导好']",市场|商务类,市场|营销,商务渠道,[],['汽车'],['汽车'],2020-07-02 16:48:01,1天前发布,上海,闵行区,"['南方商城', '莘庄', '古美', '梅陇']",15k-20k,0,5-10年,全职,大专,福利待遇好，有发展前景,today,2020-07-03 17:58:02,629661,1,1号线,顾戴路,1号线_外环路;1号线_莲花路;12号线_顾戴路,31.13,121.395268,,,100,1,4,0.0,1.5061375,,,,0,0,,0,0,0,,,0,0,[],,False,True
207,6762655,销售经理（全国）,95529,深圳云天励飞技术有限公司,云天励飞,i/image/M00/45/77/CgqKkVeIdGiANSx7AAAVacVYVAo280.JPG,500-2000人,人工智能,B轮,"['节日礼物', '带薪年假', '年度旅游', '开放务实']",销售类,销售,销售经理,"['销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']",2020-07-02 14:34:22,1天前发布,深圳,南山区,,14k-28k,0,5-10年,全职,本科,14薪,today,2020-07-03 18:35:06,10391136,1,11号线/机场线,南山,1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山,22.528499,113.923552,,,1,1,3,0.0,1.4248202,,,,0,0,,0,0,0,,,0,0,[],,False,False
208,7360314,渠道经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",市场|商务类,渠道|推广,渠道推广,['代理商'],['代理商'],[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
209,7360319,招商经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",销售类,销售,代理商销售,"['代理商', '渠道分销']","['代理商', '渠道分销']",[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
210,7061228,销售总监（全国范围）,28997,北京源清慧虹信息科技有限公司,源清慧虹,i/image2/M01/80/25/CgotOVt9GCKANDzlAAARcmQEpT8893.jpg,50-150人,"信息安全,数据服务",B轮,"['专项奖金', '绩效奖金', '五险一金', '通讯津贴']",销售类,销售管理,区域总监,[],"['大数据', '通信/网络设备']","['大数据', '通信/网络设备']",2020-07-03 17:45:07,17:45发布,北京,海淀区,"['北下关', '双榆树']",15k-30k,0,5-10年,全职,本科,"二次医疗,餐费补助,健身房,绩效奖金",today,2020-07-03 17:53:26,6299292,1,10号线,知春路,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,39.972134,116.329519,,,100,1,16,0.0,3.2632976,,,,0,0,,0,0,0,,,0,0,[],,False,False
211,7374365,(全国招聘)鲲鹏FAE+昇腾FAE C/C++技术支持,29414,东华软件股份公司,东华,image1/M00/00/41/CgYXBlTUXMqADj_gAABhWQBOVr0109.png,2000人以上,"企业服务,数据服务",上市公司,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",开发|测试|运维类,后端开发,语音|视频|图形开发,"['C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']",2020-07-03 13:12:44,13:12发布,西安,雁塔区,,13k-26k,0,3-5年,全职,本科,五险一金 ；周末双休；法定休假；定期体检,today,2020-07-03 18:30:38,16676804,1,,,,34.202773,108.868617,,,0,0,14,0.0,2.7577164,,,,0,0,,0,0,0,,,0,0,[],,False,False
212,6450479,全国销售,548684,广州高谱技术有限公司,高谱技术,i/image2/M01/66/82/CgoB5l01U9GADIQCAABxljZ2pvo243.png,150-500人,"移动互联网,物联网",未融资,"['交通补助', '定期体检', '午餐补助', '带薪年假']",销售类,销售,销售工程师,"['销售', '客户代表', '区域销售']","['销售', '客户代表', '区域销售']",[],2020-07-03 15:34:46,15:34发布,河源,源城区,,5k-9k,0,不限,全职,大专,年度体检 旅游 周末双休,today,2020-07-03 15:34:41,14570652,1,,,,23.633459,114.654524,,,89,1,14,0.0,3.012275,,,,0,0,,0,0,0,,,0,0,[],,False,False
213,6699173,全国商业化总经理,4602,雪球（北京）技术开发有限公司,雪球,image1/M00/28/41/CgYXBlVewwSAOc5FAAB0XCHw1fY376.jpg,150-500人,金融,D轮及以上,"['股票期权', '带薪年假', '年度旅游', '定期体检']",销售类,销售管理,销售总监,"['KA', '品牌管理', '市场管理']","['广告营销', 'KA', '品牌管理', '市场管理']","['广告营销', 'KA', '品牌管理', '市场管理']",2020-07-03 15:20:22,15:20发布,北京,朝阳区,"['望京', '来广营']",30k-60k,0,5-10年,全职,不限,财经知名公司，福利好，氛围好,today,2020-07-03 16:15:36,5883692,1,14号线东段,东湖渠,14号线东段_来广营;14号线东段_东湖渠,40.02124,116.468857,,,44,1,13,0.0,2.987526,,,,0,0,,0,0,0,,,0,0,[],,False,True
214,7080847,PMO（全国店面运营管理方向）,55446,贝壳找房（北京）科技有限公司,贝壳,i/image2/M01/AC/F7/CgotOVvycNiAAe8OAABhrmY_47k309.png,2000人以上,房产家居,D轮及以上,"['股票期权', '带薪年假', '绩效奖金', '扁平管理']",产品|需求|项目类,项目管理,PMO,"['PMO', '项目管理', '过程管理']","['移动互联网', '房产服务', 'PMO', '项目管理', '过程管理']","['移动互联网', '房产服务', 'PMO', '项目管理', '过程管理']",2020-07-03 14:45:40,14:45发布,北京,海淀区,"['上地', '马连洼', '西二旗']",25k-40k,0,不限,全职,本科,六险一金 超长年假 产业互联网独角兽,today,2020-07-03 14:45:30,8171055,1,昌平线,西二旗,13号线_上地;13号线_西二旗;昌平线_西二旗,40.04018,116.305611,,"['免费班车', '免费健身房', '免费下午茶', '一年调薪1次', '一年调薪2次', '15薪', '弹性工作', '地铁周边', '定期团建', '工作居住证', '超长年假', '6险2金']",100,1,13,0.0,2.920351,,,,0,0,,0,0,0,,,0,0,[],,False,True
215,6828427,全国商务BD,212939,北京一览科技有限公司,一览科技,i/image/M00/32/E7/CgpFT1k_qHiAdFKnAAAclfF44sA60.jpeg,150-500人,"移动互联网,文娱丨内容",B轮,"['股票期权', '弹性工作', '领导好', '扁平管理']",销售类,销售,商务拓展|BD,['销售'],"['视频', '销售']","['视频', '销售']",2020-07-03 11:51:37,11:51发布,北京,朝阳区,"['望京', '来广营']",10k-20k,0,1-3年,全职,本科,"领导nic,福利多多,团队氛围好",today,2020-07-03 19:27:34,11738831,1,14号线东段,东湖渠,14号线东段_来广营;14号线东段_东湖渠,40.021647,116.465865,,,100,1,11,0.0,2.6375082,,,,0,0,,0,0,0,,,0,0,[],,False,False
216,7347707,销售经理（全国）,33278,上海弘连网络科技有限公司,弘连网络,i/image/M00/9A/8F/CgqKkVihZ_OARyluAAASog9Z9z8701.png,50-150人,数据服务,未融资,"['技能培训', '绩效奖金', '定期体检', '五险一金']",销售类,销售,销售经理,"['销售', '区域销售', '软件销售']","['信息安全', '销售', '区域销售', '软件销售']","['信息安全', '销售', '区域销售', '软件销售']",2020-07-03 09:41:10,09:41发布,上海,闵行区,['七宝'],5k-10k,14,1-3年,全职,本科,行业领先地位,today,2020-07-03 17:12:06,5426879,1,,,,31.136325,121.343943,,,45,1,10,0.0,2.4465895,,,,0,0,,0,0,0,,,0,0,[],,False,False
217,7119667,全国销售VP,25439,北京沃丰时代数据科技有限公司,Udesk－企业级智能客服平台,i/image2/M01/82/33/CgotOV1sfyWAG6DAAAAcH34DTjA290.png,500-2000人,企业服务,C轮,"['AI', '大数据', '云服务', '大牛带队']",销售类,销售管理,销售VP,"['部门管理', '战略管理', '目标管理', '事业部经营']","['大数据', '企业服务', '部门管理', '战略管理', '目标管理', '事业部经营']","['大数据', '企业服务', '部门管理', '战略管理', '目标管理', '事业部经营']",2020-07-03 09:17:34,09:17发布,北京,西城区,"['西直门', '新街口', '展览路']",40k-70k,0,10年以上,全职,不限,地铁周边、高速发展、AI、潜力股,today,2020-07-03 09:17:29,8941130,1,2号线,西直门,2号线_车公庄;2号线_西直门;4号线大兴线_平安里;4号线大兴线_新街口;4号线大兴线_西直门;6号线_平安里;6号线_车公庄;6号线_车公庄西,39.939201,116.357205,,"['地铁周边', '5险1金']",46,1,9,0.0,2.4147696,,,,0,0,,0,0,0,,,0,0,[],,False,True
218,6842161,（全国）视频策划总监,658,广州三七互娱科技有限公司,三七互娱,i/image2/M01/37/BC/CgoB5lzmTciATaZZAAHQFegVPBE112.png,2000人以上,游戏,上市公司,"['高额奖金', '快速晋升', '五险一金', '带薪年假']",市场|商务类,高端市场|商务类,创意总监,[],['视频'],['视频'],2020-06-12 10:35:58,2020-06-12,广州,天河区,,30k-50k,0,5-10年,全职,大专,薪酬福利佳,today,2020-07-03 19:26:25,7878230,1,5号线,员村,5号线_员村;5号线_科韵路,23.118216,113.373865,,,40,1,8,0.0,3.4011836,,,,0,0,,0,0,0,,,0,0,[],,False,True
219,5840761,全国金融行业leader,451,腾讯科技（深圳）有限公司,腾讯,image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg,2000人以上,社交,上市公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",销售类,销售,销售经理,"['广告销售', 'KA', '大客户销售']","['广告营销', '银行', '广告销售', 'KA', '大客户销售']","['广告营销', '银行', '广告销售', 'KA', '大客户销售']",2020-07-02 20:46:49,1天前发布,北京,海淀区,"['中关村', '万泉河', '苏州街']",30k-60k,0,10年以上,全职,本科,全链路产品管理，最强广告数据库， 大厂,disabled,2020-07-03 19:17:51,7422963,1,10号线,中关村,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄,39.981802,116.306337,,"['免费班车', '年轻团队', '学习机会', 'mac办公', '定期团建', '开工利是红包']",100,1,4,0.0,1.6687719,,,,0,0,,0,0,0,,,0,0,[],,False,True
220,7272403,消费金融全国渠道运营经理,166084,四川新网银行股份有限公司,新网银行,i/image/M00/A9/7E/CgqKkViv6huAOU8qAACQvR37ffw628.JPG,150-500人,金融,不需要融资,"['带薪年假', '交通补助', '通讯津贴', '美女多']",市场|商务类,渠道|推广,渠道推广,"['渠道', '推广', '线下拓展', '商务拓展']","['渠道', '推广', '线下拓展', '商务拓展']",[],2020-07-02 17:23:03,1天前发布,成都,高新区,,9k-18k,0,3-5年,全职,本科,"互联网银行,星空餐厅,扁平化管理",disabled,2020-07-03 16:58:18,6769237,1,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,30.545868,104.068239,,,23,1,4,0.0,1.523815,,,,0,0,,0,0,0,,,0,0,[],,False,False
221,6492000,机油 – KA客户拓展/ 招商经理（全国）,36009,上海阑途信息技术有限公司,途虎养车网,i/image/M00/7C/F1/Cgp3O1hGikiAJl6jAANpB1PThVo682.jpg,2000人以上,汽车丨出行,D轮及以上,"['技能培训', '节日礼物', '岗位晋升', '领导好']",市场|商务类,市场|营销,商务渠道,[],['汽车'],['汽车'],2020-07-02 16:48:01,1天前发布,上海,闵行区,"['南方商城', '莘庄', '古美', '梅陇']",15k-20k,0,5-10年,全职,大专,福利待遇好，有发展前景,today,2020-07-03 17:58:02,629661,1,1号线,顾戴路,1号线_外环路;1号线_莲花路;12号线_顾戴路,31.13,121.395268,,,100,1,4,0.0,1.5061375,,,,0,0,,0,0,0,,,0,0,[],,False,True
222,6762655,销售经理（全国）,95529,深圳云天励飞技术有限公司,云天励飞,i/image/M00/45/77/CgqKkVeIdGiANSx7AAAVacVYVAo280.JPG,500-2000人,人工智能,B轮,"['节日礼物', '带薪年假', '年度旅游', '开放务实']",销售类,销售,销售经理,"['销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']","['大数据', '新零售', '销售', '商务渠道', '大客户销售', '市场拓展']",2020-07-02 14:34:22,1天前发布,深圳,南山区,,14k-28k,0,5-10年,全职,本科,14薪,today,2020-07-03 18:35:06,10391136,1,11号线/机场线,南山,1号线/罗宝线_桃园;1号线/罗宝线_大新;11号线/机场线_南山,22.528499,113.923552,,,1,1,3,0.0,1.4248202,,,,0,0,,0,0,0,,,0,0,[],,False,False
223,7360314,渠道经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",市场|商务类,渠道|推广,渠道推广,['代理商'],['代理商'],[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
224,7360319,招商经理-微商城渠道-全国,7461,杭州有赞科技有限公司,有赞,i/image2/M01/B1/65/CgotOVv-NQSAaKAEAAAKZL_jrTw555.png,2000人以上,企业服务,上市公司,"['工程师氛围', '弹性工作', '扁平管理', '上班不打卡']",销售类,销售,代理商销售,"['代理商', '渠道分销']","['代理商', '渠道分销']",[],2020-07-02 10:46:42,1天前发布,杭州,西湖区,,15k-30k,13,3-5年,全职,大专,渠道销售,today,2020-07-03 19:06:06,4169726,1,,,,30.256826,120.087836,,,100,1,3,0.0,1.304612,,,,0,0,,0,0,0,,,0,0,[],,False,True
225,7061228,销售总监（全国范围）,28997,北京源清慧虹信息科技有限公司,源清慧虹,i/image2/M01/80/25/CgotOVt9GCKANDzlAAARcmQEpT8893.jpg,50-150人,"信息安全,数据服务",B轮,"['专项奖金', '绩效奖金', '五险一金', '通讯津贴']",销售类,销售管理,区域总监,[],"['大数据', '通信/网络设备']","['大数据', '通信/网络设备']",2020-07-03 17:45:07,17:45发布,北京,海淀区,"['北下关', '双榆树']",15k-30k,0,5-10年,全职,本科,"二次医疗,餐费补助,健身房,绩效奖金",today,2020-07-03 17:53:26,6299292,1,10号线,知春路,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路,39.972134,116.329519,,,100,1,16,0.0,3.2632976,,,,0,0,,0,0,0,,,0,0,[],,False,False
226,7374365,(全国招聘)鲲鹏FAE+昇腾FAE C/C++技术支持,29414,东华软件股份公司,东华,image1/M00/00/41/CgYXBlTUXMqADj_gAABhWQBOVr0109.png,2000人以上,"企业服务,数据服务",上市公司,"['年底双薪', '专项奖金', '股票期权', '带薪年假']",开发|测试|运维类,后端开发,语音|视频|图形开发,"['C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']","['通信/网络设备', '视频', 'C++', 'C', '音视频', 'Python']",2020-07-03 13:12:44,13:12发布,西安,雁塔区,,13k-26k,0,3-5年,全职,本科,五险一金 ；周末双休；法定休假；定期体检,today,2020-07-03 18:30:38,16676804,1,,,,34.202773,108.868617,,,0,0,14,0.0,2.7577164,,,,0,0,,0,0,0,,,0,0,[],,False,False
